cat_periodo,codigo_unico,MRUN,GEN_ALU,FEC_NAC_ALU,EDAD_ALU,rango_edad,AÑO_ING_PRI_AÑO,SEM_ING_PRI_AÑO,AÑO_ING_CARR,SEM_ING_CARR,nomb_titulo_obtenido,nomb_grado_obtenido,FECHA_OBTENCION_TITULO,tipo_inst_1,tipo_inst_2,tipo_inst_3,cod_inst,nomb_inst,cod_sede,nomb_sede,cod_carrera,nomb_carrera,nivel_global,nivel_carrera_1,nivel_carrera_2,dur_estudio_carr,dur_proceso_tit,dur_total_carr,region_sede,provincia_sede,comuna_sede,jornada,modalidad,version,tipo_plan_carr,AREA_CINEUNESCO,oecd_area,oecd_subarea,AREA_CARRERA_GENERICA_N
TIT_2020,I143S0C69J1V1,19507209,2,199908,20,20 A 24 AÑOS,2018,1,2018,1,TECNICO DE NIVEL SUPERIOR EN ENFERMERIA CON MENCION EN URGENCIA,,20201223,INSTITUTOS PROFESIONALES,INSTITUTOS PROFESIONALES,INSTITUTOS PROFESIONALES,143,IP AIEP,0,SEDE LOS ANGELES,69,TECNICO EN ENFERMERIA MENCION EN URGENCIA,PREGRADO,TÉCNICO DE NIVEL SUPERIOR,CARRERAS TÉCNICAS,5,1,5,BIOBÍO,BIOBIO,LOS ANGELES,DIURNO,PRESENCIAL,1,PLAN REGULAR,SALUD,SALUD Y SERVICIOS SOCIALES,MEDICINA,TÉCNICO EN ENFERMERÍA
TIT_2020,I536S0C4J2V1,15327122,2,199810,21,20 A 24 AÑOS,2018,1,2018,1,TECNICO DE NIVEL SUPERIOR EN DEPORTES Y RECREACION,,20201009,CENTROS DE FORMACIÓN TÉCNICA,CENTROS DE FORMACIÓN TÉCNICA,CENTROS DE FORMACIÓN TÉCNICA,536,CFT DE TARAPACA,0,CASA CENTRAL (ARICA),4,TECNICO DE NIVEL SUPERIOR EN DEPORTES Y RECREACION,PREGRADO,TÉCNICO DE NIVEL SUPERIOR,CARRERAS TÉCNICAS,5,1,5,ARICA Y PARINACOTA,ARICA,ARICA,VESPERTINO,PRESENCIAL,1,PLAN REGULAR,EDUCACIÓN,SERVICIOS,SERVICIOS PERSONALES,"TÉCNICO EN DEPORTE, RECREACIÓN Y PREPARACIÓN FÍSICA"
TIT_2020,I536S0C39J1V1,14074018,2,199904,21,20 A 24 AÑOS,2018,1,2018,1,TECNICO DE NIVEL SUPERIOR EN ENFERMERIA,,20201120,CENTROS DE FORMACIÓN TÉCNICA,CENTROS DE FORMACIÓN TÉCNICA,CENTROS DE FORMACIÓN TÉCNICA,536,CFT DE TARAPACA,0,CASA CENTRAL (ARICA),39,TECNICO DE NIVEL SUPERIOR EN ENFERMERIA,PREGRADO,TÉCNICO DE NIVEL SUPERIOR,CARRERAS TÉCNICAS,5,1,5,ARICA Y PARINACOTA,ARICA,ARICA,DIURNO,PRESENCIAL,1,PLAN REGULAR,SALUD,SALUD Y SERVICIOS SOCIALES,MEDICINA,TÉCNICO EN ENFERMERÍA
TIT_2020,I536S0C2J2V1,2567361,2,199909,20,20 A 24 AÑOS,2018,1,2018,1,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION PUBLICA,,20210108,CENTROS DE FORMACIÓN TÉCNICA,CENTROS DE FORMACIÓN TÉCNICA,CENTROS DE FORMACIÓN TÉCNICA,536,CFT DE TARAPACA,0,CASA CENTRAL (ARICA),2,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION PUBLICA,PREGRADO,TÉCNICO DE NIVEL SUPERIOR,CARRERAS TÉCNICAS,5,1,5,ARICA Y PARINACOTA,ARICA,ARICA,VESPERTINO,PRESENCIAL,1,PLAN REGULAR,CIENCIAS SOCIALES,"CIENCIAS SOCIALES, ENSEÑANZA COMERCIAL Y DERECHO",ENSEÑANZA COMERCIAL Y ADMINISTRACIÓN,TÉCNICO EN ADMINISTRACIÓN PÚBLICA O MUNICIPAL
TIT_2020,I430S2C2J2V1,8732690,2,199908,20,20 A 24 AÑOS,2018,1,2018,1,TECNICO DE NIVEL SUPERIOR EN COMERCIO EXTERIOR,,20201102,CENTROS DE FORMACIÓN TÉCNICA,CENTROS DE FORMACIÓN TÉCNICA,CENTROS DE FORMACIÓN TÉCNICA,430,CFT INACAP,2,SEDE ARICA,2,COMERCIO EXTERIOR,PREGRADO,TÉCNICO DE NIVEL SUPERIOR,CARRERAS TÉCNICAS,4,0,4,ARICA Y PARINACOTA,ARICA,ARICA,VESPERTINO,PRESENCIAL,1,PLAN REGULAR,ADMINISTRACIÓN Y COMERCIO,"CIENCIAS SOCIALES, ENSEÑANZA COMERCIAL Y DERECHO",ENSEÑANZA COMERCIAL Y ADMINISTRACIÓN,TÉCNICO EN COMERCIO EXTERIOR
TIT_2020,I536S0C39J1V1,20693381,2,199805,22,20 A 24 AÑOS,2018,1,2018,1,TECNICO DE NIVEL SUPERIOR EN ENFERMERIA,,20201218,CENTROS DE FORMACIÓN TÉCNICA,CENTROS DE FORMACIÓN TÉCNICA,CENTROS DE FORMACIÓN TÉCNICA,536,CFT DE TARAPACA,0,CASA CENTRAL (ARICA),39,TECNICO DE NIVEL SUPERIOR EN ENFERMERIA,PREGRADO,TÉCNICO DE NIVEL SUPERIOR,CARRERAS TÉCNICAS,5,1,5,ARICA Y PARINACOTA,ARICA,ARICA,DIURNO,PRESENCIAL,1,PLAN REGULAR,SALUD,SALUD Y SERVICIOS SOCIALES,MEDICINA,TÉCNICO EN ENFERMERÍA
TIT_2020,I430S2C2J2V1,21585979,1,200003,20,20 A 24 AÑOS,2018,1,2018,1,TECNICO DE NIVEL SUPERIOR EN COMERCIO EXTERIOR,,20200420,CENTROS DE FORMACIÓN TÉCNICA,CENTROS DE FORMACIÓN TÉCNICA,CENTROS DE FORMACIÓN TÉCNICA,430,CFT INACAP,2,SEDE ARICA,2,COMERCIO EXTERIOR,PREGRADO,TÉCNICO DE NIVEL SUPERIOR,CARRERAS TÉCNICAS,4,0,4,ARICA Y PARINACOTA,ARICA,ARICA,VESPERTINO,PRESENCIAL,1,PLAN REGULAR,ADMINISTRACIÓN Y COMERCIO,"CIENCIAS SOCIALES, ENSEÑANZA COMERCIAL Y DERECHO",ENSEÑANZA COMERCIAL Y ADMINISTRACIÓN,TÉCNICO EN COMERCIO EXTERIOR
TIT_2020,I536S0C4J2V1,24480017,2,200005,20,20 A 24 AÑOS,2018,1,2018,1,TECNICO DE NIVEL SUPERIOR EN DEPORTES Y RECREACION,,20200924,CENTROS DE FORMACIÓN TÉCNICA,CENTROS DE FORMACIÓN TÉCNICA,CENTROS DE FORMACIÓN TÉCNICA,536,CFT DE TARAPACA,0,CASA CENTRAL (ARICA),4,TECNICO DE NIVEL SUPERIOR EN DEPORTES Y RECREACION,PREGRADO,TÉCNICO DE NIVEL SUPERIOR,CARRERAS TÉCNICAS,5,1,5,ARICA Y PARINACOTA,ARICA,ARICA,VESPERTINO,PRESENCIAL,1,PLAN REGULAR,EDUCACIÓN,SERVICIOS,SERVICIOS PERSONALES,"TÉCNICO EN DEPORTE, RECREACIÓN Y PREPARACIÓN FÍSICA"
TIT_2020,I536S0C4J2V1,10587697,2,199907,20,20 A 24 AÑOS,2018,1,2018,1,TECNICO DE NIVEL SUPERIOR EN DEPORTES Y RECREACION,,20201215,CENTROS DE FORMACIÓN TÉCNICA,CENTROS DE FORMACIÓN TÉCNICA,CENTROS DE FORMACIÓN TÉCNICA,536,CFT DE TARAPACA,0,CASA CENTRAL (ARICA),4,TECNICO DE NIVEL SUPERIOR EN DEPORTES Y RECREACION,PREGRADO,TÉCNICO DE NIVEL SUPERIOR,CARRERAS TÉCNICAS,5,1,5,ARICA Y PARINACOTA,ARICA,ARICA,VESPERTINO,PRESENCIAL,1,PLAN REGULAR,EDUCACIÓN,SERVICIOS,SERVICIOS PERSONALES,"TÉCNICO EN DEPORTE, RECREACIÓN Y PREPARACIÓN FÍSICA"
TIT_2020,I536S0C57J2V1,23483298,2,199908,20,20 A 24 AÑOS,2018,1,2018,1,TECNICO DE NIVEL SUPERIOR EN CONTROL DE GESTION Y LOGISTICA,,20201221,CENTROS DE FORMACIÓN TÉCNICA,CENTROS DE FORMACIÓN TÉCNICA,CENTROS DE FORMACIÓN TÉCNICA,536,CFT DE TARAPACA,0,CASA CENTRAL (ARICA),57,TECNICO DE NIVEL SUPERIOR EN CONTROL DE GESTION Y LOGISTICA,PREGRADO,TÉCNICO DE NIVEL SUPERIOR,CARRERAS TÉCNICAS,5,1,5,ARICA Y PARINACOTA,ARICA,ARICA,VESPERTINO,PRESENCIAL,1,PLAN REGULAR,ADMINISTRACIÓN Y COMERCIO,"CIENCIAS SOCIALES, ENSEÑANZA COMERCIAL Y DERECHO",ENSEÑANZA COMERCIAL Y ADMINISTRACIÓN,TÉCNICO EN LOGÍSTICA
