AGNO,RBD,DGV_RBD,NOM_RBD,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,ESTADO_ESTAB,COD_ENSE,COD_ENSE2,COD_ENSE3,COD_GRADO,COD_GRADO2,LET_CUR,COD_JOR,COD_TIP_CUR,COD_DES_CUR,MRUN,GEN_ALU,FEC_NAC_ALU,EDAD_ALU,COD_REG_ALU,COD_COM_ALU,NOM_COM_ALU,COD_SEC,COD_ESPE,COD_RAMA,COD_MEN,ENS
2021,757,9,ESCUELA BASICA EL GUINDO,4,COQ,43,4301,OVALLE,42,0,2,1,1,1,110,2,2,2,2,A,3,0,0,8423440,2,201308,7,4,4301,OVALLE,0,0,0,0,3
2021,757,9,ESCUELA BASICA EL GUINDO,4,COQ,43,4301,OVALLE,42,0,2,1,1,1,110,2,2,5,5,A,3,0,0,6405343,2,201104,10,4,4301,OVALLE,0,0,0,0,3
2021,4984,0,ESCUELA ROSITA RENARD,8,BBIO,81,8102,CORONEL,83,0,2,1,0,1,110,2,2,3,3,A,3,0,0,6461770,1,201206,9,8,8102,CORONEL,0,0,0,0,3
2021,5565,4,INSTITUTO SUPERIOR DE COMERCIO,9,ARAUC,91,9101,TEMUCO,92,0,2,1,0,1,410,7,6,2,2,A,3,0,0,21426817,1,200409,16,9,9112,PADRE LAS CASAS,0,0,0,0,6
2021,5565,4,INSTITUTO SUPERIOR DE COMERCIO,9,ARAUC,91,9101,TEMUCO,92,0,2,1,0,1,410,7,6,3,3,A,3,0,1,15501014,2,200408,16,9,9112,PADRE LAS CASAS,410,41005,400,41005003,8
2021,5565,4,INSTITUTO SUPERIOR DE COMERCIO,9,ARAUC,91,9101,TEMUCO,92,0,2,1,0,1,410,7,6,4,4,B,3,0,1,5126762,2,200308,17,9,9112,PADRE LAS CASAS,410,41002,400,0,8
2021,5566,2,LICEO INDUSTRIAL A-27 TEMUCO,9,ARAUC,91,9101,TEMUCO,92,0,5,4,0,1,510,7,6,1,1,C,3,0,0,7756641,1,200609,14,9,9112,PADRE LAS CASAS,0,0,0,0,6
2021,5566,2,LICEO INDUSTRIAL A-27 TEMUCO,9,ARAUC,91,9101,TEMUCO,92,0,5,4,0,1,510,7,6,1,1,C,3,0,0,21890603,1,200703,14,9,9112,PADRE LAS CASAS,0,0,0,0,6
2021,5566,2,LICEO INDUSTRIAL A-27 TEMUCO,9,ARAUC,91,9101,TEMUCO,92,0,5,4,0,1,510,7,6,2,2,C,3,0,0,21181499,1,200407,16,9,9112,PADRE LAS CASAS,0,0,0,0,6
2021,5566,2,LICEO INDUSTRIAL A-27 TEMUCO,9,ARAUC,91,9101,TEMUCO,92,0,5,4,0,1,510,7,6,2,2,E,3,0,0,24314819,1,200506,16,9,9101,TEMUCO,0,0,0,0,6
2021,5566,2,LICEO INDUSTRIAL A-27 TEMUCO,9,ARAUC,91,9101,TEMUCO,92,0,5,4,0,1,510,7,6,2,2,F,3,0,0,3847675,1,200606,15,12,12302,PRIMAVERA,0,0,0,0,6
