cat_periodo,codigo_unico,MRUN,GEN_ALU,FEC_NAC_ALU,EDAD_ALU,rango_edad,AÑO_ING_PRI_AÑO,SEM_ING_PRI_AÑO,AÑO_ING_CARR,SEM_ING_CARR,nomb_titulo_obtenido,nomb_grado_obtenido,FECHA_OBTENCION_TITULO,tipo_inst_1,tipo_inst_2,tipo_inst_3,cod_inst,nomb_inst,cod_sede,nomb_sede,cod_carrera,nomb_carrera,nivel_global,nivel_carrera_1,nivel_carrera_2,dur_estudio_carr,dur_proceso_tit,dur_total_carr,region_sede,provincia_sede,comuna_sede,jornada,modalidad,version,tipo_plan_carr,AREA_CINEUNESCO,oecd_area,oecd_subarea,AREA_CARRERA_GENERICA_N
TIT_2020,I70S1C183J1V1,8259522,1,199810,21,20 A 24 AÑOS,2017,1,2019,1,,LICENCIADO EN CIENCIAS MENCION FISICA,20201229,UNIVERSIDADES,UNIVERSIDADES CRUCH,UNIVERSIDADES ESTATALES CRUCH,70,UNIVERSIDAD DE CHILE,1,SANTIAGO,183,"LICENCIATURA EN CIENCIAS CON MENCION EN ASTRONOMIA, GEOFISICA O FISICA",PREGRADO,LICENCIATURA NO CONDUCENTE A TÍTULO,CARRERAS PROFESIONALES,8,0,8,METROPOLITANA,SANTIAGO,SANTIAGO,DIURNO,PRESENCIAL,1,PLAN REGULAR DE CONTINUIDAD,CIENCIAS BÁSICAS,CIENCIAS,CIENCIAS FÍSICAS,FÍSICA Y ASTRONOMÍA
TIT_2020,I86T2021N4,4371322,1,199803,22,20 A 24 AÑOS,2017,1,2017,1,,LICENCIADO EN CIENCIAS SOCIALES,20201231,UNIVERSIDADES,UNIVERSIDADES CRUCH,UNIVERSIDADES PRIVADAS CRUCH,86,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,5,CAMPUS SAN JOAQUIN,,COLLEGE CIENCIAS SOCIALES,PREGRADO,LICENCIATURA NO CONDUCENTE A TÍTULO,CARRERAS PROFESIONALES,8,0,8,METROPOLITANA,SANTIAGO,MACUL,DIURNO,PRESENCIAL,,PLAN REGULAR,CIENCIAS SOCIALES,"CIENCIAS SOCIALES, ENSEÑANZA COMERCIAL Y DERECHO",CIENCIAS SOCIALES Y DEL COMPORTAMIENTO,BACHILLERATO Y/O LICENCIATURA EN CIENCIAS SOCIALES
TIT_2020,I34S1C42J1V1,1723994,1,199708,22,20 A 24 AÑOS,2016,1,2016,1,INGENIERO COMERCIAL,LICENCIADO EN CIENCIAS ADMINISTRATIVAS,20201211,UNIVERSIDADES,UNIVERSIDADES CRUCH,UNIVERSIDADES PRIVADAS CRUCH,34,UNIVERSIDAD DE LOS ANDES,1,CASA CENTRAL (SANTIAGO),42,INGENIERIA COMERCIAL,PREGRADO,PROFESIONAL CON LICENCIATURA,CARRERAS PROFESIONALES,10,1,10,METROPOLITANA,SANTIAGO,LAS CONDES,DIURNO,PRESENCIAL,1,PLAN REGULAR,ADMINISTRACIÓN Y COMERCIO,"CIENCIAS SOCIALES, ENSEÑANZA COMERCIAL Y DERECHO",ENSEÑANZA COMERCIAL Y ADMINISTRACIÓN,INGENIERÍA COMERCIAL
TIT_2020,I34S1C42J1V1,8768713,1,199704,23,20 A 24 AÑOS,2016,1,2016,1,INGENIERO COMERCIAL,LICENCIADO EN CIENCIAS ADMINISTRATIVAS,20201202,UNIVERSIDADES,UNIVERSIDADES CRUCH,UNIVERSIDADES PRIVADAS CRUCH,34,UNIVERSIDAD DE LOS ANDES,1,CASA CENTRAL (SANTIAGO),42,INGENIERIA COMERCIAL,PREGRADO,PROFESIONAL CON LICENCIATURA,CARRERAS PROFESIONALES,10,1,10,METROPOLITANA,SANTIAGO,LAS CONDES,DIURNO,PRESENCIAL,1,PLAN REGULAR,ADMINISTRACIÓN Y COMERCIO,"CIENCIAS SOCIALES, ENSEÑANZA COMERCIAL Y DERECHO",ENSEÑANZA COMERCIAL Y ADMINISTRACIÓN,INGENIERÍA COMERCIAL
TIT_2020,I86S5C64J1V1,18776092,1,199712,22,20 A 24 AÑOS,2016,1,2016,1,CIENTISTA POLITICO,LICENCIADO EN CIENCIA POLITICA,20201231,UNIVERSIDADES,UNIVERSIDADES CRUCH,UNIVERSIDADES PRIVADAS CRUCH,86,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,5,CAMPUS SAN JOAQUIN,64,CIENCIA POLITICA,PREGRADO,PROFESIONAL CON LICENCIATURA,CARRERAS PROFESIONALES,10,0,10,METROPOLITANA,SANTIAGO,MACUL,DIURNO,PRESENCIAL,1,PLAN REGULAR,CIENCIAS SOCIALES,"CIENCIAS SOCIALES, ENSEÑANZA COMERCIAL Y DERECHO",CIENCIAS SOCIALES Y DEL COMPORTAMIENTO,CIENCIAS POLÍTICAS
TIT_2020,I45S2C24J1V1,20232758,1,199612,23,20 A 24 AÑOS,2016,1,2016,1,PUBLICISTA,LICENCIADO EN COMUNICACION PERSUASIVA,20200508,UNIVERSIDADES,UNIVERSIDADES PRIVADAS,UNIVERSIDADES PRIVADAS,45,UNIVERSIDAD DEL DESARROLLO,2,SEDE SANTIAGO (LAS CONDES),24,PUBLICIDAD,PREGRADO,PROFESIONAL CON LICENCIATURA,CARRERAS PROFESIONALES,8,0,8,METROPOLITANA,SANTIAGO,LAS CONDES,DIURNO,PRESENCIAL,1,PLAN REGULAR,CIENCIAS SOCIALES,"CIENCIAS SOCIALES, ENSEÑANZA COMERCIAL Y DERECHO",ENSEÑANZA COMERCIAL Y ADMINISTRACIÓN,PUBLICIDAD
TIT_2020,I70S1C81J1V1,23087303,1,199703,23,20 A 24 AÑOS,2016,1,2016,1,,LICENCIADO EN FILOSOFIA,20201229,UNIVERSIDADES,UNIVERSIDADES CRUCH,UNIVERSIDADES ESTATALES CRUCH,70,UNIVERSIDAD DE CHILE,1,SANTIAGO,81,LICENCIATURA EN FILOSOFIA,PREGRADO,LICENCIATURA NO CONDUCENTE A TÍTULO,CARRERAS PROFESIONALES,8,0,8,METROPOLITANA,SANTIAGO,SANTIAGO,DIURNO,PRESENCIAL,1,PLAN REGULAR,HUMANIDADES,HUMANIDADES Y ARTES,HUMANIDADES,FILOSOFÍA
TIT_2020,I10S7C21J1V1,10905279,1,199608,23,20 A 24 AÑOS,2016,1,2016,1,PROFESOR DE EDUCACION FISICA DEPORTES Y RECREACION PARA EDUCACION BASICA Y MEDIA,LICENCIADO EN EDUCACION,20210212,UNIVERSIDADES,UNIVERSIDADES PRIVADAS,UNIVERSIDADES PRIVADAS,10,UNIVERSIDAD MAYOR,7,SEDE MANUEL MONTT,21,"PEDAGOGIA EN EDUCACION FISICA, DEPORTES Y RECREACION PARA EDUCACION BASICA Y MEDIA",PREGRADO,PROFESIONAL CON LICENCIATURA,CARRERAS PROFESIONALES,10,0,10,METROPOLITANA,SANTIAGO,PROVIDENCIA,DIURNO,PRESENCIAL,1,PLAN REGULAR,EDUCACIÓN,EDUCACIÓN,FORMACIÓN DE PERSONAL DOCENTE,PEDAGOGÍA EN EDUCACIÓN FÍSICA
TIT_2020,I86S1C130J1V1,14579072,1,199701,23,20 A 24 AÑOS,2016,1,2016,1,PERIODISTA,LICENCIADO EN COMUNICACION SOCIAL,20201231,UNIVERSIDADES,UNIVERSIDADES CRUCH,UNIVERSIDADES PRIVADAS CRUCH,86,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,1,CASA CENTRAL,130,PERIODISMO - DIRECCION AUDIOVISUAL - PUBLICIDAD,PREGRADO,PROFESIONAL CON LICENCIATURA,CARRERAS PROFESIONALES,9,0,9,METROPOLITANA,SANTIAGO,SANTIAGO,DIURNO,PRESENCIAL,1,PLAN REGULAR,CIENCIAS SOCIALES,"CIENCIAS SOCIALES, ENSEÑANZA COMERCIAL Y DERECHO",PERIODISMO E INFORMACIÓN,PERIODISMO
TIT_2020,I34S1C42J1V1,12211566,1,199612,23,20 A 24 AÑOS,2016,1,2016,1,INGENIERO COMERCIAL,LICENCIADO EN CIENCIAS ADMINISTRATIVAS,20201201,UNIVERSIDADES,UNIVERSIDADES CRUCH,UNIVERSIDADES PRIVADAS CRUCH,34,UNIVERSIDAD DE LOS ANDES,1,CASA CENTRAL (SANTIAGO),42,INGENIERIA COMERCIAL,PREGRADO,PROFESIONAL CON LICENCIATURA,CARRERAS PROFESIONALES,10,1,10,METROPOLITANA,SANTIAGO,LAS CONDES,DIURNO,PRESENCIAL,1,PLAN REGULAR,ADMINISTRACIÓN Y COMERCIO,"CIENCIAS SOCIALES, ENSEÑANZA COMERCIAL Y DERECHO",ENSEÑANZA COMERCIAL Y ADMINISTRACIÓN,INGENIERÍA COMERCIAL
