AGNO,RBD,DGV_RBD,NOM_RBD,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,ESTADO_ESTAB,COD_ENSE,COD_ENSE2,COD_ENSE3,COD_GRADO,COD_GRADO2,LET_CUR,COD_JOR,COD_TIP_CUR,COD_DES_CUR,MRUN,GEN_ALU,FEC_NAC_ALU,EDAD_ALU,COD_REG_ALU,COD_COM_ALU,NOM_COM_ALU,COD_SEC,COD_ESPE,COD_RAMA,COD_MEN,ENS
2021,580,0,COLEGIO GERONIMO RENDIC,4,COQ,41,4101,LA SERENA,41,0,4,3,0,1,310,5,4,1,1,A,3,0,0,22284876,1,200604,15,12,12101,PUNTA ARENAS,0,0,0,0,5
2021,1404,4,INSTITUTO RAFAEL ARIZTIA,5,VALPO,55,5501,QUILLOTA,51,0,4,3,0,1,110,2,2,8,8,A,1,0,0,6818156,1,200708,13,5,5501,QUILLOTA,0,0,0,0,3
2021,1631,4,"COLEGIO DE LOS SAGRADOS CORAZONES, PADRES FRANCESES",5,VALPO,51,5109,VIÑA DEL MAR,53,0,4,3,0,1,110,2,2,8,8,A,3,0,0,10849844,1,200611,14,5,5109,VIÑA DEL MAR,0,0,0,0,3
2021,1638,1,SCUOLA ITALIANA ARTURO DELL´ORO,5,VALPO,51,5101,VALPARAÍSO,53,0,4,3,0,1,110,2,2,8,8,A,3,0,0,14980213,2,200711,13,12,12101,PUNTA ARENAS,0,0,0,0,3
2021,1777,9,COLEGIO SAINT DOMINIC,5,VALPO,51,5109,VIÑA DEL MAR,53,0,4,3,0,1,310,5,4,1,1,B,3,0,0,20451300,1,200506,16,5,5109,VIÑA DEL MAR,0,0,0,0,5
2021,1777,9,COLEGIO SAINT DOMINIC,5,VALPO,51,5109,VIÑA DEL MAR,53,0,4,3,0,1,310,5,4,2,2,A,3,0,0,229333,2,200511,15,12,12101,PUNTA ARENAS,0,0,0,0,5
2021,1777,9,COLEGIO SAINT DOMINIC,5,VALPO,51,5109,VIÑA DEL MAR,53,0,4,3,0,1,310,5,4,3,3,C,3,0,0,5512665,2,200406,17,8,8108,SAN PEDRO DE LA PAZ,0,0,0,0,7
2021,1781,7,ALLIANCE FRANCAISE DE VALPARAISO,5,VALPO,51,5109,VIÑA DEL MAR,53,0,4,3,0,1,310,5,4,2,2,A,3,0,0,22714476,1,200507,15,12,12101,PUNTA ARENAS,0,0,0,0,5
2021,1783,3,COLEGIO BRITANICO ST. MARGARET`S S.A.,5,VALPO,51,5103,CONCÓN,53,0,4,3,0,1,110,2,2,4,4,B,3,0,0,16458508,2,201012,10,10,10101,PUERTO MONTT,0,0,0,0,3
2021,1783,3,COLEGIO BRITANICO ST. MARGARET`S S.A.,5,VALPO,51,5103,CONCÓN,53,0,4,3,0,1,110,2,2,6,6,B,3,0,0,5623244,2,200908,11,5,5103,CONCÓN,0,0,0,0,3
2021,1783,3,COLEGIO BRITANICO ST. MARGARET`S S.A.,5,VALPO,51,5103,CONCÓN,53,0,4,3,0,1,110,2,2,7,7,A,3,0,0,11888697,2,200810,12,5,5109,VIÑA DEL MAR,0,0,0,0,3
2021,1783,3,COLEGIO BRITANICO ST. MARGARET`S S.A.,5,VALPO,51,5103,CONCÓN,53,0,4,3,0,1,110,2,2,7,7,B,3,0,0,4091940,2,200806,13,5,5109,VIÑA DEL MAR,0,0,0,0,3
2021,1783,3,COLEGIO BRITANICO ST. MARGARET`S S.A.,5,VALPO,51,5103,CONCÓN,53,0,4,3,0,1,110,2,2,8,8,B,3,0,0,23526111,2,200711,13,10,10101,PUERTO MONTT,0,0,0,0,3
2021,1783,3,COLEGIO BRITANICO ST. MARGARET`S S.A.,5,VALPO,51,5103,CONCÓN,53,0,4,3,0,1,310,5,4,4,4,B,3,0,0,12264734,2,200403,17,5,5109,VIÑA DEL MAR,0,0,0,0,7
2021,1788,4,THE MACKAY SCHOOL,5,VALPO,51,5109,VIÑA DEL MAR,53,0,4,3,0,1,110,2,2,4,4,A,3,0,0,5021217,1,201107,9,12,12101,PUNTA ARENAS,0,0,0,0,3
2021,1788,4,THE MACKAY SCHOOL,5,VALPO,51,5109,VIÑA DEL MAR,53,0,4,3,0,1,110,2,2,5,5,A,3,0,0,23992864,1,201004,11,5,5109,VIÑA DEL MAR,0,0,0,0,3
2021,1788,4,THE MACKAY SCHOOL,5,VALPO,51,5109,VIÑA DEL MAR,53,0,4,3,0,1,110,2,2,5,5,B,3,0,0,3469679,1,201004,11,5,5109,VIÑA DEL MAR,0,0,0,0,3
2021,1788,4,THE MACKAY SCHOOL,5,VALPO,51,5109,VIÑA DEL MAR,53,0,4,3,0,1,110,2,2,5,5,C,3,0,0,14583313,1,201004,11,5,5109,VIÑA DEL MAR,0,0,0,0,3
2021,1788,4,THE MACKAY SCHOOL,5,VALPO,51,5109,VIÑA DEL MAR,53,0,4,3,0,1,110,2,2,8,8,C,3,0,0,580327,1,200707,13,5,5109,VIÑA DEL MAR,0,0,0,0,3
2021,1788,4,THE MACKAY SCHOOL,5,VALPO,51,5109,VIÑA DEL MAR,53,0,4,3,0,1,310,5,4,2,2,A,3,0,0,15834642,1,200507,15,5,5109,VIÑA DEL MAR,0,0,0,0,5
2021,1839,2,COLEGIO ALEMAN DE VALPARAISO,5,VALPO,51,5109,VIÑA DEL MAR,53,0,4,3,0,1,110,2,2,1,1,A,1,0,0,557877,2,201410,6,12,12101,PUNTA ARENAS,0,0,0,0,3
2021,1839,2,COLEGIO ALEMAN DE VALPARAISO,5,VALPO,51,5109,VIÑA DEL MAR,53,0,4,3,0,1,310,5,4,2,2,D,3,0,0,14587122,2,200511,15,5,5109,VIÑA DEL MAR,0,0,0,0,5
2021,1909,7,COLEGIO LIAHONA,5,VALPO,58,5801,QUILPUÉ,53,0,3,2,0,1,310,5,4,3,3,C,1,0,0,19755087,1,200405,17,13,13114,LAS CONDES,0,0,0,0,7
2021,2200,4,INSTITUTO O´HIGGINS,6,LGBO,61,6101,RANCAGUA,61,0,4,3,0,1,110,2,2,5,5,A,1,0,0,7106988,1,201011,10,5,5109,VIÑA DEL MAR,0,0,0,0,3
2021,2260,8,COLEGIO COYA,6,LGBO,61,6108,MACHALÍ,61,0,4,3,0,1,310,5,4,3,3,A,3,0,0,5063378,2,200501,16,12,12101,PUNTA ARENAS,0,0,0,0,7
2021,2559,3,ESCUELA MUNICIPAL DE BARREALES,6,LGBO,63,6310,SANTA CRUZ,62,0,2,1,1,1,110,2,2,1,1,A,3,0,0,18619301,2,201412,6,12,12101,PUNTA ARENAS,0,0,0,0,3
2021,2789,8,ALIANZA FRANCESA JEAN MERMOZ,7,MAULE,73,7301,CURICÓ,71,0,4,3,0,1,310,5,4,4,4,B,3,0,0,19123038,1,200310,17,12,12101,PUNTA ARENAS,0,0,0,0,7
2021,3204,2,COLEGIO CONSTITUCION,7,MAULE,71,7102,CONSTITUCIÓN,72,0,4,3,0,1,110,2,2,4,4,A,3,0,0,14063412,2,201106,10,7,7102,CONSTITUCIÓN,0,0,0,0,3
2021,3204,2,COLEGIO CONSTITUCION,7,MAULE,71,7102,CONSTITUCIÓN,72,0,4,3,0,1,110,2,2,6,6,A,3,0,0,11395915,1,200906,12,12,12101,PUNTA ARENAS,0,0,0,0,3
